# Time (s),Mass (g)
226.281,2.328e4
226.289,2.328e4
226.298,2.328e4
226.308,2.328e4
226.318,2.328e4
226.33,2.328e4
226.343,2.328e4
226.358,2.328e4
226.375,2.328e4
226.393,2.328e4
226.415,2.328e4
226.44,2.328e4
226.469,2.328e4
226.504,2.328e4
226.547,2.328e4
226.601,2.328e4
226.673,2.328e4
226.775,2.328e4
226.938,2.328e4
227.258,2.328e4
227.618,2.328e4
227.981,2.328e4
228.344,2.328e4
228.706,2.328e4
229.069,2.328e4
229.432,2.328e4
229.795,2.328e4
230.157,2.328e4
230.52,2.328e4
230.882,2.328e4
231.245,2.328e4
231.607,2.328e4
231.97,2.328e4
232.332,2.328e4
232.694,2.328e4
233.056,2.328e4
233.419,2.328e4
233.781,2.328e4
234.143,2.328e4
234.505,2.328e4
234.867,2.328e4
235.229,2.328e4
235.591,2.328e4
235.953,2.328e4
236.314,2.328e4
236.676,2.328e4
237.038,2.328e4
237.4,2.328e4
237.761,2.328e4
238.123,2.328e4
238.484,2.328e4
238.846,2.328e4
239.207,2.328e4
239.569,2.328e4
239.93,2.328e4
240.43,2.328e4
240.791,2.328e4
241.152,2.328e4
241.514,2.328e4
241.875,2.328e4
242.236,2.328e4
242.597,2.328e4
242.958,2.328e4
243.319,2.328e4
243.68,2.328e4
244.041,2.328e4
244.401,2.328e4
244.762,2.328e4
245.262,2.328e4
245.623,2.328e4
245.983,2.328e4
246.344,2.328e4
246.704,2.328e4
247.065,2.328e4
247.425,2.328e4
247.786,2.328e4
248.146,2.328e4
248.506,2.328e4
248.866,2.328e4
249.226,2.328e4
249.587,2.328e4
249.947,2.328e4
250.307,2.328e4
250.667,2.328e4
251.027,2.328e4
251.387,2.328e4
